Name,Width,Height,Quantity
3HS10_1,2980,950,3
3HS10_2,2980,950,3
3HS10_3,2980,950,45
3HS10_4,2980,950,45
3HS14_1,2980,1410,48
3HS14_2,2980,1410,48
3HS17_1,2980,1680,32
3HS18_1,2980,1780,16
3HS18_2,2980,1780,16
3HS18_3,2980,1780,32
3HS18_4,2980,1780,32
3HS31_1,2980,3090,32
3HS31_2,2980,3090,32
3HS31_3,2980,3090,28
3HS31_4,2980,3090,29
3HS31_5,2980,3090,2
3HS31_6,2980,3090,2
3HS31_7,2980,3090,2
3HS31_8,2980,3090,2
3HS33_1,2980,3280,32
3HS33_2,2980,3280,32
3HS48_1,2980,4840,16
3HS48_2,2980,4840,16
3HS50_1,2980,5040,16
3HS48_3,2980,4840,16
3HS50_2,2980,5040,16
3HS59_1,2980,5870,48
3HS59_2,2980,5870,48
3HS60_1,2980,5930,42
