prod_id,price A,price B,price C
14095,15.6,16.068,16.38
13645,5.3,5.459,5.565
13156,36.4,37.492,38.22
12190,8.7,8.961,9.135
11883,52.8,54.384,55.44
12214,22.4,23.072,23.52
12235,69.8,71.894,73.29
12087,9,9.27,9.4500000000000011
11704,5.3,5.459,5.565
13035,25.3,26.059,26.565
13143,26.5,27.295,27.825000000000003
14290,6,6.18,6.3000000000000007
13169,11.4,11.742,11.97
13220,19.6,20.188000000000002,20.580000000000002
13222,15.8,16.274,16.59
12189,16.6,17.098000000000003,17.430000000000003
13702,15.3,15.759,16.065
13112,8.7,8.961,9.135
12527,4.8,4.944,5.04
12721,35.5,36.565,37.275
13739,17.8,18.334,18.69
13838,4.6,4.7379999999999995,4.83
14082,2.4,2.472,2.52
13706,46.8,48.204,49.14
12309,31.6,32.548,33.18
12727,41.6,42.848000000000006,43.680000000000007
14561,62.8,64.684,65.94
12654,17.2,17.716,18.06
13168,10.6,10.918,11.13
12426,24.4,25.131999999999998,25.62
13056,13.9,14.317,14.595
12118,6.3,6.489,6.615
14357,5.4,5.562,5.6700000000000008
14360,1.8,1.854,1.8900000000000001
13844,6,6.18,6.3000000000000007
12095,4.3,4.429,4.515
14259,21.3,21.939,22.365000000000002
14293,12.6,12.978,13.23
14352,2,2.06,2.1
14269,8.2,8.446,8.61
12283,100.4,103.412,105.42000000000002
14490,30.6,31.518,32.13
13142,9.1,9.373,9.555
14108,5.1,5.253,5.3549999999999995
12191,10.7,11.020999999999999,11.235
12866,8.7,8.961,9.135
13125,8.6,8.858,9.03
12315,13.8,14.214,14.490000000000002
12135,6.8,7.004,7.14
14060,1.2,1.236,1.26
