Employee_id;Pharmacy_id;SoldPerHour;SalesPerformance;ReplaceDistance;SalaryPerHour;VacationStartPeriod;VacationDuration
25;47;29;7599;15;15;214;14
64;48;29;7944;10;15;252;14
65;48;25;5991;10;15;363;14
66;48;32.5;2599;10;17;5;16
67;48;33;10223;10;17;250;16
68;48;32.88;10589;20;17;9;16
88;35;29.22;8453;20;15;217;14
89;35;32.43;8273;20;17;204;16
90;35;32.5;9249;20;17;334;16
91;35;32.8;8239;20;17;182;16
96;33;31.18;89;20;17;86;16
97;33;29.57;9786;20;15;61;14
98;33;29;9631;20;15;122;14
105;47;28;9039;20;15;118;14
106;47;25.43;554;20;15;234;14
107;47;27.33;1255;20;15;104;14
108;47;29;983;20;15;14;14
115;37;27.29;6546;10;15;335;14
127;36;26.87;4844;10;15;5;14
131;36;26;7088;10;15;129;14
196;37;26;6276;10;15;331;14
197;37;26.92;4185;10;15;327;14
203;34;25;2446;10;15;126;14
204;34;25;1723;10;15;124;14
217;38;24.75;4052;10;15;345;14
218;38;24.83;1741;5;15;153;14
219;38;24;3998;5;15;51;14
235;37;24.83;5;5;15;33;14
