Shop;DayOfYear;TimePeriod;pharm_ItemsSold;pharm_Revenue
47;18;17;45;139.29
47;19;17;54;170.43
47;22;17;64;172.61
47;28;17;21;71.54
47;16;17;36;121
47;26;17;21;51.67
47;24;17;36;122.77
47;4;17;34;88.97
47;10;17;53;132.95
47;14;17;32;74.04
47;15;17;60;159.08
47;31;17;36;133.66
47;1;17;12;38.89
47;8;17;44;171.54
47;11;17;33;92.87
47;17;17;43;161.83
47;23;17;34;93.48
47;25;17;42;150.34
47;30;17;44;152.88
47;27;17;36;109.93
47;9;17;37;107.56
47;21;17;33;89.31
47;29;17;46;144.36
47;12;17;59;187.92
47;5;17;41;146.59
47;13;17;27;93.79
47;28;18;24;74.58
47;30;18;42;113.78
47;4;18;46;146.08
47;8;18;37;79.25
47;10;18;59;207.8
47;14;18;23;49.42
47;31;18;29;84.06
47;22;18;56;176.93
47;1;18;30;96.09
47;15;18;71;200.17
47;19;18;36;116.56
47;24;18;18;50.23
47;27;18;21;64.68
47;21;18;34;93.76
47;5;18;31;125.91
47;13;18;26;103.3
47;23;18;32;77.78
47;25;18;25;59.22
47;26;18;21;59.96
47;12;18;29;94.14
47;29;18;40;143.79
47;9;18;53;94.65
47;16;18;33;75.58
47;18;18;35;117.42
47;21;16;44;150.39
47;29;16;30;96.92
47;13;16;29;91.57
47;26;16;58;160.53
47;15;16;44;147.42
47;4;16;25;69.86
47;5;16;33;105.25
47;8;16;35;85.61
47;9;16;24;57.86
47;12;16;17;59.92
47;18;16;30;80.03
47;23;16;41;116.42
47;25;16;34;94.36
47;30;16;33;76.2
47;31;16;16;57.03
47;16;16;18;38.37
47;3;16;32;112.13
47;10;16;40;139.39
47;14;16;39;116.03
47;17;16;36;71.8
47;19;16;31;108.29
47;22;16;32;82.66
47;1;16;9;26.36
47;11;16;31;95.86
47;24;16;22;81.29
47;28;16;28;85.16
47;1;13;18;65.48
47;4;13;32;83.48
47;11;13;34;74.73
47;19;13;29;108.31
47;23;13;56;162.48
47;28;13;31;66.74
47;3;13;40;80.74
47;10;13;39;112.27
47;14;13;28;50.08
47;17;13;28;96.57
47;24;13;9;26.93
47;25;13;29;86.81
47;30;13;48;115.64
47;31;13;21;63.56
47;15;13;28;86.37
47;22;13;34;113.96
47;26;13;24;62.3
47;18;13;21;70.46
47;9;13;43;111.43
47;8;13;32;68.44
47;12;13;40;147.63
47;16;13;22;62.12
47;5;13;15;34.77
47;13;13;33;86.85
47;21;13;24;60.04
47;29;13;64;158.08
47;18;12;23;59.62
47;21;12;38;106.97
47;26;12;52;170
47;19;12;32;81.77
47;31;12;27;78.04
47;16;12;28;53.95
47;8;12;25;60.78
47;4;12;15;33.57
47;17;12;29;77.71
47;22;12;43;141.14
47;25;12;53;175.84
47;30;12;43;120.43
47;3;12;38;94.65
47;11;12;43;124.83
47;14;12;20;37.91
47;23;12;17;41.74
47;24;12;29;110.11
47;28;12;36;121.82
47;1;12;14;37.17
47;9;12;48;143.57
47;13;12;35;115.64
47;15;12;28;86.16
47;29;12;39;94.29
47;12;12;25;77.63
47;5;12;22;90.42
47;30;19;34;86.61
47;18;19;34;94.7
47;5;19;33;88.25
47;9;19;20;61.85
47;13;19;24;71.37
47;21;19;25;75.88
47;23;19;31;81.89
47;25;19;54;151.26
47;26;19;20;53.24
47;29;19;45;161.98
47;12;19;28;86.31
47;15;19;28;99.98
47;16;19;28;83.23
47;1;19;15;40.05
47;8;19;26;75.3
47;14;19;39;141.99
47;19;19;39;173.78
47;22;19;54;111.89
47;27;19;15;51.69
47;31;19;36;135.26
47;4;19;26;60.12
47;10;19;27;89.29
47;28;19;21;71.5
47;30;14;38;111.78
47;4;14;18;60.84
47;8;14;50;156.88
47;18;14;49;145.81
47;29;14;28;76.54
47;26;14;19;57.65
47;5;14;31;113.09
47;9;14;11;30.37
47;13;14;27;68.18
47;15;14;30;85.52
47;16;14;25;81.91
47;21;14;27;71.93
47;23;14;39;124.87
47;25;14;50;141.88
47;31;14;19;43.21
